"filename","category","token_count","FAC","NORP","ORG","PERSON","total_pii_entities","token_score","pii_score","dpdd_risk_score"
"Property Standards Appeal Committee-21 Oct 2020.pdf","Property Standards Appeal Committee","2147","8","0","44","66","118","0.1095128793675083","0.10278745644599303","0.10615016790675066"
"Whitby Diversity and Inclusion Advisory Committee-09 Jun 2022.pdf","Whitby Diversity and Inclusion Advisory Committee","1143","2","0","57","25","84","0.05830145371078806","0.07317073170731707","0.06573609270905256"
"Special Council-14 Jan 2019.pdf","Special Council","921","2","0","25","21","48","0.04697781178270849","0.041811846689895474","0.04439482923630198"
"Special Council-27 Jan 2014.pdf","Special Council","1320","1","0","27","36","64","0.06732976281560826","0.05574912891986063","0.061539445867734445"
"Regular Council-29 Nov 2021.pdf","Regular Council","10711","37","4","303","176","520","0.5463402193318031","0.4529616724738676","0.4996509459028353"
"Joint AAC and WDIAC-05 Oct 2023.pdf","Joint AAC and WDIAC","1095","1","0","40","44","85","0.0558530986993114","0.0740418118466899","0.06494745527300065"
"Regular Council-02 Feb 2010.pdf","Regular Council","798","0","0","21","28","49","0.04070390206579954","0.042682926829268296","0.04169341444753392"
"Brooklin Downtown Development Steering Committee-23 Sep 2021.pdf","Brooklin Downtown Development Steering Committee","1597","17","1","58","42","118","0.08145881152767151","0.10278745644599303","0.09212313398683228"
"Special Council-16 Sep 2024.pdf","Special Council","1026","5","0","32","35","72","0.0523335883703137","0.0627177700348432","0.05752567920257845"
"Special Council-20 Jan 2014.pdf","Special Council","609","1","0","13","27","41","0.031063504208110177","0.03571428571428571","0.03338889496119794"
"Special Council-06 Sep 2016.pdf","Special Council","1035","1","0","24","41","66","0.05279265493496557","0.05749128919860627","0.05514197206678592"
"Public Meetings-10 Feb 2025.pdf","Public Meetings","2324","16","0","62","62","140","0.11854118847232849","0.12195121951219512","0.1202462039922618"
"Active Transportation and Safe Roads Advisory Committee-13 May 2021.pdf","Active Transportation and Safe Roads Advisory Committee","2170","27","0","68","53","148","0.11068604947717418","0.1289198606271777","0.11980295505217595"
"Special Council-02 Mar 2020.pdf","Special Council","643","1","0","19","17","37","0.03279775567457281","0.032229965156794424","0.03251386041568362"
"Special Council-26 Apr 2021.pdf","Special Council","911","9","0","31","29","69","0.04646773782198419","0.06010452961672474","0.053286133719354464"
"Committee of Adjustment-07 Jul 2022.pdf","Committee of Adjustment","3760","4","0","61","88","153","0.19178780923233868","0.1332752613240418","0.16253153527819025"
"Regular Council-18 Mar 2010.pdf","Regular Council","1773","10","0","40","41","91","0.09043611323641929","0.07926829268292683","0.08485220295967305"
"Special Council-20 Nov 2017.pdf","Special Council","532","1","0","17","25","43","0.02713593471053303","0.037456445993031356","0.03229619035178219"
"Special Council-24 Sep 2012.pdf","Special Council","1605","0","0","50","35","85","0.08186687069625095","0.0740418118466899","0.07795434127147043"
"Whitby Sustainability Advisory Committee-07 Apr 2021.pdf","Whitby Sustainability Advisory Committee","1837","6","1","80","39","126","0.09370058658505483","0.10975609756097561","0.10172834207301522"
"Committee of Adjustment-03 Dec 2020.pdf","Committee of Adjustment","6654","7","0","102","143","252","0.33940321346595254","0.21951219512195122","0.2794577042939519"
"Regular Council-05 Jun 2017.pdf","Regular Council","8522","69","0","260","148","477","0.43468502932925274","0.4155052264808362","0.42509512790504445"
"Regular Council-29 Apr 2010.pdf","Regular Council","540","3","0","16","28","47","0.02754399387911247","0.040940766550522645","0.034242380214817555"
"Regular Council-22 Jun 2020.pdf","Regular Council","9187","36","1","235","159","431","0.468604947717419","0.37543554006968644","0.42202024389355275"
"Whitby Sustainability Advisory Committee-06 Mar 2024.pdf","Whitby Sustainability Advisory Committee","1376","1","0","51","28","80","0.07018617699566437","0.06968641114982578","0.06993629407274507"
"Special Council-18 Feb 2020.pdf","Special Council","2720","6","1","65","51","123","0.13874011731701097","0.10714285714285714","0.12294148722993406"
"Whitby Diversity and Inclusion Advisory Committee-03 Dec 2020.pdf","Whitby Diversity and Inclusion Advisory Committee","1354","4","0","50","36","90","0.0690640142820709","0.078397212543554","0.07373061341281245"
"Whitby Diversity and Inclusion Advisory Committee-07 May 2020.pdf","Whitby Diversity and Inclusion Advisory Committee","134","0","0","3","12","15","0.006834991073705688","0.013066202090592335","0.009950596582149012"
"Special Council-01 May 2017.pdf","Special Council","613","0","0","15","22","37","0.031267533792399896","0.032229965156794424","0.03174874947459716"
"Joint AAC and WDIAC-03 Oct 2024.pdf","Joint AAC and WDIAC","805","0","0","27","33","60","0.04106095383830655","0.05226480836236934","0.04666288110033795"
"Committee of Adjustment-01 Mar 2018.pdf","Committee of Adjustment","4131","11","0","66","68","145","0.2107115531752104","0.12630662020905922","0.16850908669213482"
"Special Council-16 Apr 2018.pdf","Special Council","642","1","0","11","20","32","0.03274674827850038","0.027874564459930314","0.030310656369215348"
"Special Council-27 Nov 2017.pdf","Special Council","372","1","0","4","18","23","0.01897475133894415","0.02003484320557491","0.01950479727225953"
"Brooklin Downtown Development Steering Committee-22 Mar 2018.pdf","Brooklin Downtown Development Steering Committee","8217","66","0","316","236","618","0.41912777352716146","0.5383275261324042","0.47872764982978283"
"Whitby Sustainability Advisory Committee-08 Jan 2020.pdf","Whitby Sustainability Advisory Committee","1633","5","0","53","39","97","0.08329507778627901","0.08449477351916376","0.08389492565272139"
"Special Council-16 Feb 2023(1).pdf","Special Council","556","1","0","13","24","38","0.02836011221627136","0.033101045296167246","0.030730578756219304"
"Regular Council-04 Mar 2019.pdf","Regular Council","4264","8","0","122","101","231","0.21749553685284367","0.20121951219512196","0.20935752452398282"
"Special Council-09 Jan 2017.pdf","Special Council","572","1","0","8","23","32","0.029176230553430247","0.027874564459930314","0.028525397506680282"
"Special Council-28 Nov 2024.pdf","Special Council","4391","1","0","151","133","285","0.22397347615404234","0.24825783972125434","0.23611565793764833"
"Audit Committee-29 May 2019.pdf","Audit Committee","1976","1","0","39","72","112","0.10079061463912267","0.0975609756097561","0.09917579512443939"
"Whitby Sustainability Advisory Committee-02 Feb 2022.pdf","Whitby Sustainability Advisory Committee","1375","6","0","48","37","91","0.07013516959959194","0.07926829268292683","0.07470173114125939"
"Committee of the Whole-13 May 2024.pdf","Committee of the Whole","5291","4","0","180","53","237","0.2698801326192298","0.20644599303135888","0.2381630628252943"
"Regular Council-08 Feb 2010.pdf","Regular Council","760","0","0","19","28","47","0.03876562101504718","0.040940766550522645","0.039853193782784915"
"Regular Council-23 Nov 2009.pdf","Regular Council","5579","30","0","179","102","311","0.28457026268808977","0.27090592334494773","0.27773809301651875"
"Regular Council-07 Mar 2011.pdf","Regular Council","7085","17","0","211","127","355","0.3613874011731701","0.30923344947735193","0.335310425325261"
"Active Transportation and Safe Roads Advisory Committee-09 Jan 2020.pdf","Active Transportation and Safe Roads Advisory Committee","2314","13","0","80","65","158","0.11803111451160418","0.13763066202090593","0.12783088826625505"
"Committee of the Whole-14 Apr 2025.pdf","Committee of the Whole","3814","5","4","102","52","163","0.19454220862024993","0.14198606271777003","0.16826413566901"
"Heritage Whitby Advisory Committee-14 Feb 2023.pdf","Heritage Whitby Advisory Committee","1964","3","1","82","79","165","0.1001785258862535","0.1437282229965157","0.1219533744413846"
"Committee of Adjustment-29 Jul 2021.pdf","Committee of Adjustment","2616","8","0","49","58","115","0.1334353481254782","0.10017421602787456","0.11680478207667638"
"Committee of the Whole-11 Dec 2023.pdf","Committee of the Whole","9315","50","1","250","172","473","0.4751338944146901","0.41202090592334495","0.44357740016901753"
"Downtown Whitby Development Steering Committee-28 Nov 2019.pdf","Downtown Whitby Development Steering Committee","1355","3","0","45","49","97","0.06911502167814333","0.08449477351916376","0.07680489759865355"
"Whitby Diversity and Inclusion Advisory Committee-05 Jun 2025.pdf","Whitby Diversity and Inclusion Advisory Committee","221","1","0","2","8","11","0.011272634532007142","0.009581881533101045","0.010427258032554093"
"Regular Council-09 Oct 2012.pdf","Regular Council","4755","43","1","140","79","263","0.24254016832440703","0.22909407665505227","0.23581712248972964"
"Special Council-24 Jun 2019.pdf","Special Council","611","1","0","11","28","40","0.031165519000255038","0.03484320557491289","0.033004362287583966"
"Special Council-25 Feb 2019.pdf","Special Council","1436","1","0","32","34","67","0.0732466207600102","0.05836236933797909","0.06580449504899465"
"Special Council-09 Sep 2019.pdf","Special Council","623","1","0","9","27","37","0.0317776077531242","0.032229965156794424","0.03200378645495931"
"Regular Council-07 May 2012.pdf","Regular Council","3954","15","3","166","114","298","0.2016832440703902","0.259581881533101","0.2306325628017456"
"Regular Council-14 Dec 2020.pdf","Regular Council","7744","14","5","225","169","413","0.3950012751849018","0.3597560975609756","0.3773786863729387"
"Accessibility Advisory Committee-05 Jun 2018.pdf","Accessibility Advisory Committee","1272","8","0","47","29","84","0.0648814078041316","0.07317073170731707","0.06902606975572434"
"Special Council-08 Feb 2021(1).pdf","Special Council","983","1","0","24","27","52","0.05014027033919918","0.04529616724738676","0.04771821879329297"
"Whitby Sustainability Advisory Committee-05 Jun 2019.pdf","Whitby Sustainability Advisory Committee","1638","9","1","66","37","113","0.08355011476664116","0.09843205574912892","0.09099108525788505"
"Committee of the Whole-02 Dec 2019.pdf","Committee of the Whole","5884","64","2","177","83","326","0.3001275184901811","0.28397212543554007","0.29204982196286056"
"Committee of the Whole-06 May 2019.pdf","Committee of the Whole","5101","38","1","183","70","292","0.260188727365468","0.25435540069686413","0.2572720640311661"
"Regular Council-02 Sep 2008.pdf","Regular Council","1781","6","0","67","39","112","0.09084417240499873","0.0975609756097561","0.09420257400737742"
"Heritage Whitby Advisory Committee-12 Oct 2021.pdf","Heritage Whitby Advisory Committee","1777","11","0","52","42","105","0.09064014282070901","0.09146341463414634","0.09105177872742767"
"Regular Council-19 Feb 2019.pdf","Regular Council","5572","10","1","188","98","297","0.28421321091558277","0.2587108013937282","0.2714620061546555"
"Special Council-02 Oct 2017.pdf","Special Council","216","2","0","5","15","22","0.011017597551644989","0.01916376306620209","0.015090680308923538"
"Regular Council-27 May 2019.pdf","Regular Council","12904","66","3","372","263","704","0.6581994389186432","0.6132404181184669","0.6357199285185551"
"Public Meetings-13 Sep 2021.pdf","Public Meetings","1436","8","0","39","52","99","0.0732466207600102","0.08623693379790941","0.07974177727895981"
"Committee of Adjustment-16 Jun 2022.pdf","Committee of Adjustment","737","2","0","10","19","31","0.03759245090538128","0.02700348432055749","0.03229796761296939"
"Special Council-14 Jun 2021.pdf","Special Council","1678","2","0","44","32","78","0.08559041060953838","0.06794425087108014","0.07676733074030925"
"Accessibility Advisory Committee-04 Feb 2025.pdf","Accessibility Advisory Committee","1325","1","0","52","35","88","0.06758479979597042","0.07665505226480836","0.07211992603038939"
"Committee of the Whole-01 Apr 2019.pdf","Committee of the Whole","6873","36","0","226","92","354","0.35057383320581487","0.3083623693379791","0.32946810127189696"
"Special Council-25 Oct 2021.pdf","Special Council","932","1","0","28","36","65","0.047538893139505226","0.05662020905923345","0.052079551099369334"
"Special Council-22 Feb 2018.pdf","Special Council","1028","1","0","34","31","66","0.05243560316245856","0.05749128919860627","0.054963446180532415"
"Regular Council-27 May 2024.pdf","Regular Council","7098","21","1","224","102","348","0.3620504973221117","0.30313588850174217","0.3325931929119269"
"Special Council-09 Nov 2015.pdf","Special Council","413","1","0","8","20","29","0.021066054577913797","0.025261324041811847","0.023163689309862824"
"Regular Council-14 Dec 2009.pdf","Regular Council","867","0","0","32","33","65","0.04422341239479725","0.05662020905923345","0.05042181072701535"
"Committee of the Whole-06 May 2024.pdf","Committee of the Whole","2343","17","1","77","46","141","0.11951032899770467","0.12282229965156795","0.12116631432463632"
"Committee of the Whole-02 Dec 2024.pdf","Committee of the Whole","3720","13","0","103","66","182","0.18974751338944146","0.15853658536585366","0.17414204937764755"
"Special Council-28 Apr 2014.pdf","Special Council","503","0","0","9","23","32","0.025656720224432543","0.027874564459930314","0.026765642342181428"
"Whitby Sustainability Advisory Committee-05 Jun 2024.pdf","Whitby Sustainability Advisory Committee","1197","2","0","42","36","80","0.06105585309869931","0.06968641114982578","0.06537113212426254"
"Regular Council-19 Oct 2009.pdf","Regular Council","925","0","0","28","36","64","0.04718184136699821","0.05574912891986063","0.05146548514342942"
"Regular Council-26 Sep 2022.pdf","Regular Council","6577","31","1","195","127","354","0.3354756439683754","0.3083623693379791","0.3219190066531773"
"Property Standards Appeal Committee-20 Jan 2021.pdf","Property Standards Appeal Committee","1136","3","0","30","28","61","0.05794440193828105","0.05313588850174216","0.055540145220011605"
"Special Council-26 Oct 2015.pdf","Special Council","355","0","0","4","19","23","0.01810762560571283","0.02003484320557491","0.019071234405643872"
"Heritage Whitby Advisory Committee-09 Sep 2020.pdf","Heritage Whitby Advisory Committee","1136","5","0","41","30","76","0.05794440193828105","0.06620209059233449","0.062073246265307774"
"Special Council-15 Oct 2024.pdf","Special Council","1203","1","0","46","24","71","0.061361897475133896","0.06184668989547038","0.06160429368530214"
"Committee of Adjustment-10 Feb 2022.pdf","Committee of Adjustment","1827","4","0","30","41","75","0.09319051262433053","0.06533101045296168","0.07926076153864611"
"Regular Council-17 May 2021.pdf","Regular Council","5438","13","2","153","100","268","0.27737821984187705","0.23344947735191637","0.2554138485968967"
"Regular Council-13 Dec 2021.pdf","Regular Council","4565","7","0","129","73","209","0.23284876307064525","0.18205574912891986","0.20745225609978257"
"Special Council-26 Jun 2017.pdf","Special Council","1500","1","0","66","36","103","0.07651109410864575","0.0897212543554007","0.08311617423202322"
"Regular Council-30 Mar 2015.pdf","Regular Council","5619","30","0","194","110","334","0.286610558530987","0.29094076655052264","0.2887756625407548"
"Whitby Diversity and Inclusion Advisory Committee-02 Feb 2023.pdf","Whitby Diversity and Inclusion Advisory Committee","1234","2","0","31","41","74","0.06294312675337924","0.06445993031358885","0.06370152853348404"
"Special Council-11 Jun 2012.pdf","Special Council","987","0","0","41","35","76","0.050344299923488905","0.06620209059233449","0.0582731952579117"
"Special Council-07 Oct 2019.pdf","Special Council","697","2","0","12","32","46","0.03555215506248406","0.04006968641114982","0.03781092073681694"
"Committee of the Whole-13 May 2019.pdf","Committee of the Whole","5094","10","3","187","58","258","0.259831675592961","0.22473867595818817","0.24228517577557457"
"Regular Council-05 May 2008.pdf","Regular Council","299","0","0","14","19","33","0.01525121142565672","0.028745644599303136","0.021998428012479927"
"Special Council-27 Feb 2017.pdf","Special Council","1756","4","0","33","61","98","0.08956898750318797","0.08536585365853659","0.08746742058086228"
"Regular Council-31 Jan 2022.pdf","Regular Council","8452","24","10","265","145","444","0.4311145116041826","0.3867595818815331","0.40893704674285786"
"Special Council-29 Apr 2013.pdf","Special Council","1312","2","0","32","29","63","0.06692170364702882","0.054878048780487805","0.06089987621375831"
"Regular Council-19 Jun 2023.pdf","Regular Council","11776","78","5","402","263","748","0.6006630961489416","0.6515679442508711","0.6261155201999064"
"Special Council-18 Mar 2013.pdf","Special Council","974","1","0","27","32","60","0.04968120377454731","0.05226480836236934","0.050973006068458324"
"Special Council-29 May 2012.pdf","Special Council","1185","0","0","32","40","72","0.060443764345830146","0.0627177700348432","0.06158076719033667"
"Ethno Cultural and Diversity Advisory Committee-04 Apr 2019.pdf","Ethno Cultural and Diversity Advisory Committee","1989","10","1","60","57","128","0.10145371078806427","0.11149825783972125","0.10647598431389277"
"Committee of the Whole-17 Jan 2022.pdf","Committee of the Whole","9089","63","14","293","148","518","0.46360622290232084","0.45121951219512196","0.4574128675487214"
"Ethno Cultural and Diversity Advisory Committee-03 May 2018.pdf","Ethno Cultural and Diversity Advisory Committee","143","1","0","3","8","12","0.007294057638357562","0.010452961672473868","0.008873509655415715"
"Public Meetings-30 May 2022.pdf","Public Meetings","2414","28","0","59","51","138","0.12313185411884724","0.12020905923344948","0.12167045667614836"
"Special Council-19 Jan 2024.pdf","Special Council","881","0","0","30","32","62","0.044937515939811275","0.05400696864111498","0.049472242290463125"
"Special Council-09 Apr 2018.pdf","Special Council","5668","0","0","118","124","242","0.2891099209385361","0.21080139372822299","0.24995565733337954"
"Special Council-08 Mar 2021.pdf","Special Council","1759","4","0","43","44","91","0.08972200969140526","0.07926829268292683","0.08449515118716605"
"Committee of the Whole-04 Dec 2023.pdf","Committee of the Whole","6931","28","2","220","91","341","0.3535322621780158","0.2970383275261324","0.32528529485207414"
"Committee of the Whole-20 Jan 2025.pdf","Committee of the Whole","3885","10","1","113","83","207","0.1981637337413925","0.1803135888501742","0.18923866129578337"
"Special Council-07 Feb 2022.pdf","Special Council","1436","12","0","37","29","78","0.0732466207600102","0.06794425087108014","0.07059543581554517"
"Regular Council-22 Apr 2014.pdf","Regular Council","5223","9","2","159","130","300","0.2664116296863045","0.2613240418118467","0.2638678357490756"
"Regular Council-23 Mar 2011.pdf","Regular Council","1049","3","0","40","44","87","0.0535067584799796","0.07578397212543554","0.06464536530270756"
"Regular Council-26 Jan 2012.pdf","Regular Council","1139","2","0","36","41","79","0.05809742412649834","0.06881533101045297","0.06345637756847565"
"Special Council-09 Jan 2014.pdf","Special Council","1381","3","0","31","32","66","0.07044121397602653","0.05749128919860627","0.06396625158731639"
"Heritage Whitby Advisory Committee-09 May 2023.pdf","Heritage Whitby Advisory Committee","922","3","0","34","36","73","0.04702881917878092","0.06358885017421603","0.055308834676498476"
"Whitby Diversity and Inclusion Advisory Committee-03 Jun 2021.pdf","Whitby Diversity and Inclusion Advisory Committee","1716","1","9","62","36","108","0.08752869166029074","0.09407665505226481","0.09080267335627779"
"Special Council-18 Nov 2022.pdf","Special Council","839","0","0","32","25","57","0.04279520530476919","0.04965156794425087","0.04622338662451003"
"Whitby Sustainability Advisory Committee-02 Oct 2024.pdf","Whitby Sustainability Advisory Committee","895","4","1","28","26","59","0.0456516194848253","0.05139372822299652","0.04852267385391091"
"Special Council-09 Jan 2023(1).pdf","Special Council","1177","3","0","19","31","53","0.0600357051772507","0.046167247386759584","0.05310147628200514"
"Regular Council-17 Mar 2008.pdf","Regular Council","5030","14","1","187","87","289","0.25656720224432544","0.25174216027874563","0.2541546812615355"
"Regular Council-07 Sep 2010.pdf","Regular Council","13240","55","2","433","220","710","0.6753379239989798","0.6184668989547039","0.6469024114768418"
"Committee of Adjustment-19 Sep 2024.pdf","Committee of Adjustment","2627","1","0","46","48","95","0.13399642948227494","0.08275261324041812","0.10837452136134654"
"Regular Council-25 Nov 2019.pdf","Regular Council","7517","14","0","184","130","328","0.3834225962764601","0.2857142857142857","0.33456844099537286"
"Committee of Adjustment-17 Oct 2019.pdf","Committee of Adjustment","5784","16","0","101","108","225","0.29502677888293805","0.19599303135888502","0.24550990512091153"
"Special Council-18 Jan 2021.pdf","Special Council","2981","2","3","77","68","150","0.15205304769191533","0.13066202090592335","0.14135753429891934"
"Whitby Sustainability Advisory Committee-04 Oct 2023.pdf","Whitby Sustainability Advisory Committee","863","1","0","32","21","54","0.044019382810507525","0.047038327526132406","0.04552885516831996"
"Regular Council-21 Nov 2011.pdf","Regular Council","3562","7","3","135","97","242","0.18168834480999746","0.21080139372822299","0.19624486926911022"
"Committee of the Whole-12 Apr 2021.pdf","Committee of the Whole","6073","15","5","244","114","378","0.30976791634787043","0.32926829268292684","0.31951810451539864"
"Accessibility Advisory Committee-04 Oct 2022.pdf","Accessibility Advisory Committee","783","4","0","30","16","50","0.03993879112471308","0.04355400696864112","0.041746399046677096"
"Regular Council-07 Apr 2010.pdf","Regular Council","1564","8","0","43","60","111","0.0797755674572813","0.09668989547038327","0.08823273146383229"
"Heritage Whitby Advisory Committee-08 May 2018.pdf","Heritage Whitby Advisory Committee","2136","11","0","64","54","129","0.10895179801071156","0.11236933797909408","0.11066056799490281"
"Regular Council-21 Sep 2009.pdf","Regular Council","8481","26","3","282","143","454","0.43259372609028307","0.39547038327526135","0.4140320546827722"
"Regular Council-20 Jan 2014.pdf","Regular Council","4048","21","2","128","75","226","0.20647793930119868","0.19686411149825783","0.20167102539972825"
"Regular Council-17 Jan 2011.pdf","Regular Council","6911","48","0","257","165","470","0.3525121142565672","0.4094076655052265","0.38095988988089685"
"Regular Council-09 Feb 2015.pdf","Regular Council","7214","22","7","236","114","379","0.36796735526651364","0.33013937282229966","0.3490533640444067"
"Special Council-05 Oct 2015.pdf","Special Council","568","0","0","8","26","34","0.028972200969140525","0.029616724738675958","0.029294462853908243"
"Special Council-29 Nov 2021.pdf","Special Council","1526","1","0","53","40","94","0.07783728640652894","0.08188153310104529","0.07985940975378711"
"Special Council-16 Feb 2016.pdf","Special Council","625","1","0","15","22","38","0.03187962254526906","0.033101045296167246","0.03249033392071815"
"Heritage Whitby Advisory Committee-09 Mar 2021.pdf","Heritage Whitby Advisory Committee","1357","5","1","45","29","80","0.06921703647028819","0.06968641114982578","0.06945172381005699"
"Special Council-13 Jun 2022.pdf","Special Council","1449","9","0","49","31","89","0.0739097169089518","0.07752613240418119","0.07571792465656649"
"Regular Council-10 Jan 2011.pdf","Regular Council","804","0","0","40","24","64","0.04100994644223412","0.05574912891986063","0.04837953768104737"
"Special Council-21 Feb 2013.pdf","Special Council","2240","7","0","62","50","119","0.11425656720224432","0.10365853658536585","0.10895755189380509"
"Active Transportation and Safe Roads Advisory Committee-10 Jun 2021.pdf","Active Transportation and Safe Roads Advisory Committee","2061","34","0","54","53","141","0.10512624330527927","0.12282229965156795","0.11397427147842361"
"Regular Council-26 May 2008.pdf","Regular Council","300","0","0","11","21","32","0.015302218821729151","0.027874564459930314","0.02158839164082973"
"Regular Council-21 Jan 2013.pdf","Regular Council","4091","15","0","131","101","247","0.20867125733231318","0.21515679442508712","0.21191402587870015"
"Regular Council-24 Mar 2010.pdf","Regular Council","1660","7","0","47","69","123","0.08467227748023463","0.10714285714285714","0.09590756731154589"
"Whitby Sustainability Advisory Committee-02 Oct 2019.pdf","Whitby Sustainability Advisory Committee","1581","7","0","50","38","95","0.08064269319051262","0.08275261324041812","0.08169765321546538"
"Whitby Sustainability Advisory Committee-05 Feb 2020.pdf","Whitby Sustainability Advisory Committee","961","7","2","31","21","61","0.04901810762560571","0.05313588850174216","0.05107699806367394"
"Special Council-30 Oct 2023.pdf","Special Council","6956","33","0","194","168","395","0.3548074470798266","0.3440766550522648","0.3494420510660457"
"Regular Council-16 Apr 2018.pdf","Regular Council","8295","23","0","196","156","375","0.423106350420811","0.32665505226480834","0.3748807013428097"
"Special Council-05 Jun 2017.pdf","Special Council","769","9","0","16","29","54","0.039224687579699054","0.047038327526132406","0.04313150755291573"
"Special Council-24 Feb 2020.pdf","Special Council","2650","4","0","42","107","153","0.13516959959194083","0.1332752613240418","0.13422243045799132"
"Regular Council-10 Mar 2009.pdf","Regular Council","2229","6","0","86","74","166","0.11369548584544759","0.1445993031358885","0.12914739449066803"
"Accessibility Advisory Committee-02 Feb 2021.pdf","Accessibility Advisory Committee","1592","5","0","57","35","97","0.08120377454730936","0.08449477351916376","0.08284927403323655"
"Regular Council-20 Nov 2017.pdf","Regular Council","6108","41","0","184","93","318","0.3115531752104055","0.2770034843205575","0.2942783297654815"
"Whitby Diversity and Inclusion Advisory Committee-04 Jun 2020.pdf","Whitby Diversity and Inclusion Advisory Committee","1243","2","0","40","29","71","0.06340219331803111","0.06184668989547038","0.06262444160675075"
"Regular Council-26 Apr 2021.pdf","Regular Council","8529","32","0","254","176","462","0.43504208110175974","0.4024390243902439","0.41874055274600186"
"Special Council-25 Jun 2020.pdf","Special Council","2993","16","0","65","47","128","0.1526651364447845","0.11149825783972125","0.13208169714225287"
"Animal Services Appeal Committee-09 Oct 2019.pdf","Animal Services Appeal Committee","1251","4","0","29","58","91","0.06381025248661056","0.07926829268292683","0.07153927258476869"
"Whitby Sustainability Advisory Committee-03 Jun 2020.pdf","Whitby Sustainability Advisory Committee","1155","2","0","54","29","85","0.05891354246365723","0.0740418118466899","0.06647767715517357"
"Special Council-20 Feb 2014.pdf","Special Council","610","1","0","15","26","42","0.031114511604182608","0.036585365853658534","0.03384993872892057"
"Regular Council-14 Mar 2011.pdf","Regular Council","587","0","0","15","31","46","0.029941341494516705","0.04006968641114982","0.035005513952833266"
"Regular Council-25 May 2010.pdf","Regular Council","723","3","1","20","25","49","0.036878347360367256","0.042682926829268296","0.03978063709481777"
"Accessibility Advisory Committee-03 Jun 2025.pdf","Accessibility Advisory Committee","795","1","0","38","30","69","0.04055087987758225","0.06010452961672474","0.05032770474715349"
"Regular Council-11 Jan 2012.pdf","Regular Council","560","0","0","16","19","35","0.02856414180056108","0.03048780487804878","0.02952597333930493"
"Special Council-25 Jun 2018.pdf","Special Council","1646","1","0","56","46","103","0.0839581739352206","0.0897212543554007","0.08683971414531065"
"Regular Council-30 Nov 2009.pdf","Regular Council","455","0","1","12","24","37","0.02320836521295588","0.032229965156794424","0.027719165184875154"
"Committee of the Whole-20 Jan 2020.pdf","Committee of the Whole","3148","20","0","64","48","132","0.16057128283601121","0.11498257839721254","0.1377769306166119"
"Committee of the Whole-07 Apr 2025.pdf","Committee of the Whole","4822","32","0","158","102","292","0.2459576638612599","0.25435540069686413","0.250156532279062"
"Regular Council-06 May 2013.pdf","Regular Council","5603","54","2","168","113","337","0.2857944401938281","0.2935540069686411","0.2896742235812346"
"Heritage Whitby Advisory Committee-08 Mar 2022.pdf","Heritage Whitby Advisory Committee","952","7","0","30","31","68","0.048559041060953836","0.059233449477351915","0.053896245269152876"
"Regular Council-11 May 2009.pdf","Regular Council","7191","17","0","216","104","337","0.36679418515684775","0.2935540069686411","0.3301740960627444"
"Regular Council-16 Jan 2012.pdf","Regular Council","3291","18","0","113","67","198","0.1678653404743688","0.17247386759581881","0.1701696040350938"
"Special Council-05 Feb 2024(1).pdf","Special Council","2026","5","0","65","57","127","0.1033409844427442","0.11062717770034843","0.1069840810715463"
"Regular Council-08 Feb 2016.pdf","Regular Council","4844","21","1","160","70","252","0.24707982657485336","0.21951219512195122","0.2332960108484023"
"Accessibility Advisory Committee-04 Jun 2019.pdf","Accessibility Advisory Committee","1157","8","0","50","31","89","0.05901555725580209","0.07752613240418119","0.06827084482999164"
"Committee of the Whole-27 Jan 2020.pdf","Committee of the Whole","2439","7","0","74","51","132","0.124407039020658","0.11498257839721254","0.11969480870893527"
"Special Council-03 Oct 2016.pdf","Special Council","637","0","0","7","26","33","0.03249171129813823","0.028745644599303136","0.030618677948720682"
"Special Council-09 May 2022.pdf","Special Council","1042","6","1","29","34","70","0.053149706707472585","0.06097560975609756","0.05706265823178507"
"Heritage Whitby Advisory Committee-13 Oct 2020.pdf","Heritage Whitby Advisory Committee","1644","12","0","49","38","99","0.08385615914307575","0.08623693379790941","0.08504654647049258"
"Regular Council-30 May 2011.pdf","Regular Council","6972","26","3","234","126","389","0.3556235654169855","0.33885017421602787","0.3472368698165067"
"Special Council-08 Apr 2024.pdf","Special Council","1091","1","0","22","31","54","0.055649069115021675","0.047038327526132406","0.051343698320577044"
"Committee of the Whole-01 May 2023.pdf","Committee of the Whole","2277","10","0","89","48","147","0.11614384085692425","0.12804878048780488","0.12209631067236457"
"Special Council-21 Feb 2017.pdf","Special Council","544","0","0","9","22","31","0.027748023463402192","0.02700348432055749","0.02737575389197984"
"Animal Services Appeal Committee-26 Jan 2022.pdf","Animal Services Appeal Committee","971","0","0","27","42","69","0.04952818158633002","0.06010452961672474","0.05481635560152738"
"Committee of the Whole-12 May 2025.pdf","Committee of the Whole","5148","15","9","197","65","286","0.2625860749808722","0.24912891986062718","0.2558574974207497"
"Heritage Whitby Advisory Committee-14 Jun 2022.pdf","Heritage Whitby Advisory Committee","1937","5","0","80","38","123","0.09880132619229788","0.10714285714285714","0.10297209166757751"
"Regular Council-09 Feb 2011.pdf","Regular Council","495","0","0","12","28","40","0.0252486610558531","0.03484320557491289","0.030045933315382994"
"Regular Council-10 Dec 2012.pdf","Regular Council","10534","44","1","306","167","518","0.5373119102269829","0.45121951219512196","0.49426571121105245"
